Packet Size,Connect Time
0,0.00014138221740722656
1,0.00012087821960449219
2,0.00011920928955078125
3,0.00010371208190917969
4,0.00011897087097167969
5,5.221366882324219e-05
6,3.2901763916015625e-05
7,3.337860107421875e-05
8,8.273124694824219e-05
9,8.821487426757812e-05
10,8.96453857421875e-05
11,4.0531158447265625e-05
12,8.654594421386719e-05
13,8.153915405273438e-05
14,8.511543273925781e-05
15,8.416175842285156e-05
16,3.647804260253906e-05
17,7.534027099609375e-05
18,8.893013000488281e-05
19,8.678436279296875e-05
20,4.029273986816406e-05
21,3.504753112792969e-05
22,3.24249267578125e-05
23,3.218650817871094e-05
24,3.1948089599609375e-05
25,3.123283386230469e-05
26,3.123283386230469e-05
27,3.123283386230469e-05
28,3.075599670410156e-05
29,3.170967102050781e-05
30,3.075599670410156e-05
31,3.075599670410156e-05
32,3.147125244140625e-05
33,3.170967102050781e-05
34,3.147125244140625e-05
35,3.147125244140625e-05
36,3.075599670410156e-05
37,3.147125244140625e-05
38,3.075599670410156e-05
39,3.075599670410156e-05
40,3.0994415283203125e-05
41,3.0994415283203125e-05
42,3.075599670410156e-05
43,3.0994415283203125e-05
44,3.0517578125e-05
45,3.147125244140625e-05
46,3.075599670410156e-05
47,3.075599670410156e-05
48,3.0994415283203125e-05
49,3.147125244140625e-05
50,3.0994415283203125e-05
51,3.0994415283203125e-05
52,3.075599670410156e-05
53,3.170967102050781e-05
54,3.123283386230469e-05
55,3.0994415283203125e-05
56,3.075599670410156e-05
57,3.123283386230469e-05
58,3.0994415283203125e-05
59,3.0517578125e-05
60,3.0279159545898438e-05
61,3.170967102050781e-05
62,3.0517578125e-05
63,3.075599670410156e-05
64,3.0517578125e-05
65,3.0517578125e-05
66,3.075599670410156e-05
67,3.123283386230469e-05
68,3.0279159545898438e-05
69,3.170967102050781e-05
70,3.0517578125e-05
71,3.0517578125e-05
72,3.123283386230469e-05
73,3.218650817871094e-05
74,3.123283386230469e-05
75,3.075599670410156e-05
76,3.075599670410156e-05
77,3.123283386230469e-05
78,3.147125244140625e-05
79,3.0994415283203125e-05
80,3.147125244140625e-05
81,3.123283386230469e-05
82,3.0994415283203125e-05
83,3.0994415283203125e-05
84,3.075599670410156e-05
85,3.123283386230469e-05
86,3.123283386230469e-05
87,3.0517578125e-05
88,3.0994415283203125e-05
89,3.123283386230469e-05
90,3.0994415283203125e-05
91,3.075599670410156e-05
92,3.147125244140625e-05
93,3.147125244140625e-05
94,3.0994415283203125e-05
95,3.0517578125e-05
96,3.123283386230469e-05
97,3.0994415283203125e-05
98,3.123283386230469e-05
99,3.0994415283203125e-05
