Packet Size,Connect Time
0,0.00014472007751464844
1,0.00011134147644042969
2,0.00011587142944335938
3,0.00011396408081054688
4,0.00011467933654785156
5,6.961822509765625e-05
6,2.9087066650390625e-05
7,2.5987625122070312e-05
8,3.0279159545898438e-05
9,2.86102294921875e-05
10,2.86102294921875e-05
11,3.170967102050781e-05
12,2.8848648071289062e-05
13,2.9087066650390625e-05
14,2.8371810913085938e-05
15,2.7894973754882812e-05
16,2.86102294921875e-05
17,8.225440979003906e-05
18,7.939338684082031e-05
19,6.532669067382812e-05
20,6.079673767089844e-05
21,6.0558319091796875e-05
22,2.8371810913085938e-05
23,2.86102294921875e-05
24,2.8848648071289062e-05
25,2.8371810913085938e-05
26,2.9087066650390625e-05
27,2.765655517578125e-05
28,2.7418136596679688e-05
29,2.8371810913085938e-05
30,2.7894973754882812e-05
31,2.7894973754882812e-05
32,2.8133392333984375e-05
33,2.8133392333984375e-05
34,2.8371810913085938e-05
35,3.218650817871094e-05
36,2.8133392333984375e-05
37,2.765655517578125e-05
38,2.7894973754882812e-05
39,2.7894973754882812e-05
40,2.7894973754882812e-05
41,2.8133392333984375e-05
42,3.528594970703125e-05
43,2.9802322387695312e-05
44,2.7179718017578125e-05
45,2.8371810913085938e-05
46,2.7894973754882812e-05
47,2.8133392333984375e-05
48,2.8133392333984375e-05
49,2.7894973754882812e-05
50,2.7894973754882812e-05
51,2.8371810913085938e-05
52,2.7179718017578125e-05
53,2.8133392333984375e-05
54,2.8371810913085938e-05
55,2.7894973754882812e-05
56,2.765655517578125e-05
57,2.765655517578125e-05
58,2.7418136596679688e-05
59,2.8371810913085938e-05
60,2.7894973754882812e-05
61,2.7179718017578125e-05
62,2.765655517578125e-05
63,2.7179718017578125e-05
64,2.765655517578125e-05
65,2.7418136596679688e-05
66,2.7179718017578125e-05
67,2.7894973754882812e-05
68,2.7179718017578125e-05
69,2.6941299438476562e-05
70,2.7894973754882812e-05
71,2.7418136596679688e-05
72,2.7894973754882812e-05
73,2.7894973754882812e-05
74,2.7418136596679688e-05
75,2.765655517578125e-05
76,2.7179718017578125e-05
77,2.7418136596679688e-05
78,2.7894973754882812e-05
79,2.7179718017578125e-05
80,2.765655517578125e-05
81,2.7179718017578125e-05
82,2.7418136596679688e-05
83,2.7418136596679688e-05
84,2.7418136596679688e-05
85,2.7418136596679688e-05
86,2.765655517578125e-05
87,2.7418136596679688e-05
88,2.7894973754882812e-05
89,2.7894973754882812e-05
90,2.7418136596679688e-05
91,2.7894973754882812e-05
92,2.7179718017578125e-05
93,2.765655517578125e-05
94,2.7894973754882812e-05
95,2.7418136596679688e-05
96,2.765655517578125e-05
97,2.765655517578125e-05
98,2.7418136596679688e-05
99,2.7894973754882812e-05
